time,Ax,Ay,Az,A_mag,active,activity
2025-11-09T17:17:25.218525,0.983118236,-0.237607509,-0.078816347,1.014490419,1,walking
2025-11-09T17:17:25.742983,0.933174372,-0.416838348,-0.082672805,1.025379641,1,walking
2025-11-09T17:17:26.267808,0.874744833,-0.327584773,0.031680588,0.934608991,1,walking
2025-11-09T17:17:26.792633,1.019727468,-0.193221956,0.124285392,1.045287374,1,walking
2025-11-09T17:17:27.317456,1.093188643,-0.120854177,0.084562801,1.103094742,1,walking
2025-11-09T17:17:27.842313,1.065064907,-0.176577359,0.141344175,1.088816328,1,walking
2025-11-09T17:17:28.367223,1.008090138,-0.182849228,0.189108744,1.041845327,1,walking
2025-11-09T17:17:28.892164,0.968571424,-0.218068197,0.092848502,0.997148528,1,walking
2025-11-09T17:17:29.416994,1.052700162,-0.093836874,0.051420037,1.058124289,1,walking
2025-11-09T17:17:29.941778,1.037668586,-0.260765195,0.088949353,1.073623103,1,walking
2025-11-09T17:17:30.466591,1.042759895,-0.212037563,0.144024834,1.073802254,1,walking
2025-11-09T17:17:30.978528,0.940205216,-0.251357377,0.149629861,0.984660081,1,walking
2025-11-09T17:17:31.503560,0.997422516,-0.17054671,0.075546026,1.014714274,1,walking
2025-11-09T17:17:32.028574,1.0277282,-0.240019768,0.086512379,1.058923573,1,walking
2025-11-09T17:17:32.553462,1.014636159,-0.082981706,0.239066616,1.045717622,1,walking
2025-11-09T17:17:33.078419,0.824073613,-0.007719229,0.130621523,0.83439732,1,walking
2025-11-09T17:17:33.603332,1.191136718,-0.139428571,0.147192895,1.208268495,1,walking
2025-11-09T17:17:34.128128,0.8977772,-0.378483415,0.237848118,1.002908432,1,walking
2025-11-09T17:17:34.652951,1.133434653,-0.176094905,0.138663501,1.155383527,1,walking
2025-11-09T17:17:35.177773,0.959600985,-0.218550667,-0.099544808,0.989195437,1,walking
2025-11-09T17:17:35.702606,0.996695101,-0.362321287,-0.047000576,1.06154929,1,walking
2025-11-09T17:17:36.227544,1.154769897,-0.222892731,0.038747799,1.1767226,1,walking
2025-11-09T17:17:36.752371,0.902141273,0.004370267,-0.216202646,0.927696912,1,walking
2025-11-09T17:17:37.277211,1.008817434,-0.302256048,0.13110891,1.06125439,1,walking
2025-11-09T17:17:37.802016,0.921536922,-0.108069204,0.167663425,0.942878718,1,walking
2025-11-09T17:17:38.326890,1.293448925,-0.510192752,-0.2967062,1.421738842,1,walking
2025-11-09T17:17:38.851681,1.085672736,-0.409360349,0.029731015,1.160665808,1,walking
2025-11-09T17:17:39.376530,0.938750565,-0.150524959,-0.104847431,0.956505813,1,walking
2025-11-09T17:17:39.901363,1.181438923,-0.324931294,0.007554602,1.225330709,1,walking
2025-11-09T17:17:40.426177,0.671332777,0.019180615,-0.060739204,0.674347717,1,walking
2025-11-09T17:17:40.951009,1.162285805,-0.340852171,0.191789418,1.226324458,1,walking
2025-11-09T17:17:41.475859,0.903111041,-0.034977753,0.00999157,0.903843364,1,walking
2025-11-09T17:17:42.000692,0.840559959,-0.302979708,0.133058473,0.9033506,1,walking
2025-11-09T17:17:42.526697,0.789161444,-0.192498267,0.041184768,0.81334344,1,walking
2025-11-09T17:17:43.052051,0.731701732,-0.330238253,0.007554602,0.802808694,1,walking
2025-11-09T17:22:35.169155,0.917172849,-0.059341572,0.413797259,1.007946243,1,sitting
2025-11-09T17:22:35.694162,0.904808164,-0.044868015,0.404780447,0.992238964,1,sitting
2025-11-09T17:22:36.219004,0.922021806,0.023308087,0.427200586,1.016448631,1,sitting
2025-11-09T17:22:36.743646,0.900201738,-0.066578344,0.415503144,0.993699506,1,sitting
2025-11-09T17:22:37.268356,0.919354916,-0.041973308,0.399906546,1.003444301,1,sitting
2025-11-09T17:22:37.793032,0.932204545,-0.032565497,0.357503295,0.99893665,1,sitting
2025-11-09T17:22:38.317776,0.924203813,0.01602431,0.350192368,0.988455442,1,sitting
2025-11-09T17:22:38.842536,0.947963536,-0.004342066,0.334352076,1.005208948,1,sitting
2025-11-09T17:22:39.367274,0.953539789,-0.00410084,0.326553792,1.00791484,1,sitting
2025-11-09T17:22:39.891958,0.950872898,-0.006513099,0.337276429,1.00893859,1,sitting
2025-11-09T17:22:40.416755,0.938993037,-0.01350865,0.34824279,1.001580475,1,sitting
2025-11-09T17:22:40.941546,0.937295914,-0.002412259,0.380898178,1.01173755,1,sitting
2025-11-09T17:22:41.466265,0.956691563,-0.004583292,0.376999021,1.028303464,1,sitting
2025-11-09T17:22:41.991027,0.916203141,0.000728378,0.407461137,1.002722945,1,sitting
2025-11-09T17:22:42.515674,0.919597387,-0.004824518,0.393814087,1.000386008,1,sitting
2025-11-09T17:22:43.040387,0.920082271,-0.018091943,0.39064604,0.999741483,1,sitting
2025-11-09T17:22:43.565054,0.912808895,0.026949978,0.410141796,1.001080752,1,sitting
2025-11-09T17:22:44.089778,0.9108693,0.01602431,0.413066179,1.000281625,1,sitting
2025-11-09T17:22:44.614436,0.910384417,0.004855852,0.413066179,0.999723478,1,sitting
2025-11-09T17:22:45.139071,0.916445613,0.011896837,0.399419129,0.999774843,1,sitting
2025-11-09T17:22:45.663794,0.907959938,0.022579709,0.415503144,0.998771223,1,sitting
2025-11-09T17:22:46.188533,0.870623231,0.057056256,0.436704755,0.975679901,1,sitting
2025-11-09T17:22:46.713273,0.833529055,0.042974286,0.495679379,0.970729376,1,sitting
2025-11-09T17:22:47.237981,0.889776528,0.011654044,0.440603882,0.992960154,1,sitting
2025-11-09T17:22:47.762631,0.903111041,0.026221598,0.446452618,1.007778281,1,sitting
2025-11-09T17:22:48.287386,0.91862756,0.033990961,0.441334993,1.019710035,1,sitting
2025-11-09T17:22:48.812153,0.904808164,0.045159418,0.411360294,0.99495451,1,sitting
2025-11-09T17:22:49.336759,0.911596656,0.032291412,0.419158578,1.003865086,1,sitting
2025-11-09T17:22:49.861402,0.905777931,0.026221598,0.418914855,0.998304006,1,sitting
2025-11-09T17:22:50.386303,0.914990902,0.036661681,0.425738394,1.009854252,1,sitting
2025-11-09T17:22:50.911281,0.914263546,0.037875641,0.41111657,1.003159624,1,sitting
2025-11-09T17:22:51.435949,0.908929765,0.035204921,0.426469475,1.004623769,1,sitting
2025-11-09T17:22:51.960714,0.917657793,0.017238274,0.408679634,1.004694991,1,sitting
2025-11-09T17:22:52.485410,0.909172177,0.00097117,0.363595724,0.979181721,1,sitting
2025-11-09T17:22:53.010273,0.929780126,0.022822501,0.378461212,1.004113956,1,sitting
2025-11-09T17:22:53.534959,0.922749162,0.033505373,0.390889734,1.002688092,1,sitting
2025-11-09T17:22:54.059612,0.94069016,0.048801307,0.375536829,1.014054956,1,sitting
2025-11-09T17:22:54.584283,0.926628292,0.02743556,0.388696492,1.00522518,1,sitting
2025-11-09T17:22:55.108913,0.922991633,0.026949978,0.384553641,1.000260646,1,sitting
2025-11-09T17:22:55.633642,0.922021806,0.038361229,0.386259526,1.00039603,1,sitting
2025-11-09T17:22:56.158446,0.92905277,0.023550879,0.371394008,1.000813271,1,sitting
2025-11-09T17:22:56.683197,0.922749162,0.040546361,0.40770483,1.00962035,1,sitting
2025-11-09T17:22:57.207888,0.912566423,0.047587346,0.386990607,0.992372794,1,sitting
2025-11-09T17:22:57.732605,0.911596656,0.02646439,0.409166992,0.999563132,1,sitting
2025-11-09T17:22:58.257247,0.910142004,0.044916626,0.409654409,0.999095944,1,sitting
2025-11-09T17:22:58.781947,0.893413246,0.072594978,0.386990607,0.976329344,1,sitting
2025-11-09T17:22:59.306627,0.907475054,0.055599499,0.422326624,1.002477958,1,sitting
2025-11-09T17:22:59.831280,0.909899533,0.076236866,0.421839237,1.005821834,1,sitting
2025-11-09T17:23:00.355995,0.907717466,0.053657159,0.423788816,1.003208378,1,sitting
2025-11-09T17:23:00.882094,0.905535519,0.039332394,0.429637551,1.003060337,1,sitting
2025-11-09T17:23:01.407067,0.90699017,0.034476548,0.427687973,1.003362748,1,sitting
2025-11-09T17:23:01.932270,0.913051367,0.041274738,0.412822455,1.002890214,1,sitting
2025-11-09T17:23:02.456979,0.912324011,0.033019789,0.409166992,1.000421429,1,sitting
2025-11-09T17:23:02.981625,0.909172177,0.035690509,0.411360294,0.998541512,1,sitting
2025-11-09T17:23:03.506265,0.913536191,0.036904473,0.407461137,1.000966978,1,sitting
2025-11-09T17:23:04.031194,0.915475786,0.024522049,0.405267864,1.001468565,1,sitting
2025-11-09T17:23:04.556341,0.911839068,0.042974286,0.426713169,1.007661353,1,sitting
